时间戳,大学名称,语言考试类型,语言成绩,GPA,课程体系,课程数量,平均课程成绩,预测录取率 
2025-04-02T09:12:08.308Z,普林斯顿大学,托福,100,4,AP课程,1,0.00,0.03%

2025-04-02T09:16:04.622Z,麻省理工学院,托福,100,4,AP课程,1,0.00,0.03%
2025-04-02T17:17:22.756Z,哈佛大学,托福,100,4,AP课程,1,0.00,0.02%
2025-04-02T17:18:48.087Z,普林斯顿大学,托福,100,4,AP课程,1,0.00,0.03%
2025-04-02T17:19:05.569Z,普林斯顿大学,托福,100,4,AP课程,1,0.00,0.03%
2025-04-02T17:19:11.720Z,普林斯顿大学,托福,100,3,AP课程,1,0.00,0.00%
2025-04-02T17:21:44.125Z,普林斯顿大学,托福,100,4,AP课程,1,5.00,0.06%
2025-04-02T17:22:49.612Z,普林斯顿大学,托福,100,4,AP课程,1,2.00,0.05%
2025-04-02T17:24:02.181Z,普林斯顿大学,托福,100,4,AP课程,1,3.00,0.05%
2025-04-02T17:25:24.640Z,哈佛大学,托福,100,3,AP课程,1,3.00,0.01%
2025-04-02T17:26:28.758Z,普林斯顿大学,托福,100,4,AP课程,1,3.00,0.05%
2025-04-02T17:28:12.374Z,耶鲁大学,托福,100,4,AP课程,1,3.00,0.06%
2025-04-02T17:30:33.552Z,芝加哥大学,托福,100,4,AP课程,1,3.00,0.20%
2025-04-02T17:30:48.731Z,塔夫茨大学,托福,120,4,AP课程,2,5.00,0.24%
2025-04-02T17:31:00.900Z,塔夫茨大学,托福,120,4,AP课程,3,5.00,0.25%
2025-04-02T17:31:33.890Z,弗吉尼亚大学,托福,120,4,AP课程,3,5.00,0.93%
2025-04-02T17:31:45.760Z,塔夫茨大学,托福,120,4,AP课程,3,5.00,0.25%
2025-04-02T17:31:52.745Z,北卡罗来纳大学教堂山分校,托福,120,4,AP课程,3,5.00,2.77%
